Nazwisko aktualne,Liczba
BOROWSKI,12627
BŁASZCZYK,12611
ADAMSKI,12587
GÓRECKI,12482
SZCZEPANIAK,12410
CHOJNACKI,12277
KOZIOŁ,12162
MUCHA,12149
LESZCZYŃSKI,12145
LIPIŃSKI,12111
KOWALEWSKI,12108
ANDRZEJEWSKI,12078
CZERWIŃSKI,12052
WESOŁOWSKI,11988
MIKOŁAJCZYK,11954
ZIĘBA,11809
JAROSZ,11794
CIEŚLAK,11716
MUSIAŁ,11598
KOWALIK,11574
MARKOWSKI,11522
KOŁODZIEJCZYK,11420
KOPEĆ,11322
BRZOZOWSKI,11236
NOWACKI,11151
PIĄTEK,11128
ŻAK,11084
DOMAŃSKI,11055
PAWLIK,11022
ORŁOWSKI,11011
KUREK,10967
CIESIELSKI,10901
TOMCZYK,10891
TOMCZAK,10855
WÓJTOWICZ,10830
KOT,10770
WAWRZYNIAK,10704
KRUK,10604
POLAK,10551
WOLSKI,10521
MARKIEWICZ,10447
SOWA,10406
STASIAK,10208
JASTRZĘBSKI,10131
KARPIŃSKI,10102
STANKIEWICZ,10078
URBANIAK,10048
KLIMEK,9906
PIASECKI,9898
ŁUCZAK,9865
CZAJKOWSKI,9864
WIERZBICKI,9817
NAWROCKI,9801
GAJDA,9780
BIELECKI,9557
DZIEDZIC,9541
STEFAŃSKI,9541
BEDNAREK,9532
MADEJ,9479
JANICKI,9432
MILEWSKI,9413
SOSNOWSKI,9328
SKIBA,9299
KOWAL,9285
LEŚNIAK,9276
MAJ,9230
MAJCHRZAK,9227
JÓŹWIAK,9223
URBAN,9166
ŚLIWIŃSKI,9030
MAŁECKI,9024
SOCHA,9017
MAREK,8966
DOMAGAŁA,8965
BEDNARCZYK,8932
KASPRZAK,8779
WRONA,8760
DOBROWOLSKI,8743
PAJĄK,8678
MATUSZEWSKI,8674
MICHALIK,8671
RATAJCZAK,8609
OLEJNICZAK,8527
ORZECHOWSKI,8457
ROMANOWSKI,8440
ŚWIĄTEK,8434
WILCZYŃSKI,8433
KUROWSKI,8411
OLEJNIK,8252
GRZELAK,8240
ROGOWSKI,8230
ŁUKASIK,8224
MAZURKIEWICZ,8192
OWCZAREK,8175
BUKOWSKI,8169
SROKA,8107
SOBOLEWSKI,8099
KOSIŃSKI,8012
BARAŃSKI,8003
RYBAK,7992
KĘDZIERSKI,7967
ZYCH,7918
MARSZAŁEK,7889
BEDNARZ,7883
SOBCZYK,7785
MARCINKOWSKI,7769
SKOWROŃSKI,7759
MATUSIAK,7755
KOZIEŁ,7714
CHRZANOWSKI,7709
LISOWSKI,7706
ŚWIDERSKI,7696
KASPRZYK,7631
BEDNARSKI,7613
BIAŁEK,7586
KUCZYŃSKI,7529
PLUTA,7524
WITEK,7523
KWIECIEŃ,7522
GRZYBOWSKI,7458
PALUCH,7453
TUREK,7440
MUSZYŃSKI,7428
CZAJKA,7427
CHMIEL,7426
JĘDRZEJEWSKI,7426
JANISZEWSKI,7425
MORAWSKI,7400
MARCZAK,7384
MAŁEK,7325
MARZEC,7255
KACZOR,7254
KUBICKI,7237
ŚLIWA,7233
ŻUKOWSKI,7232
CZAJA,7219
PIEKARSKI,7195
SZCZĘSNY,7138
CZECH,7119
OSIŃSKI,7083
PRZYBYSZ,7063
JANOWSKI,7046
KULESZA,7030
KRZEMIŃSKI,7028
STEFANIAK,7017
GOŁĘBIEWSKI,7003
RAK,6986
BIERNACKI,6985
LECH,6928
SMOLIŃSKI,6928
SZYDŁOWSKI,6909
SERAFIN,6903
BANACH,6890
KUJAWA,6883
LEWICKI,6878
STANISZEWSKI,6877
MICHAŁOWSKI,6870
CIEŚLIK,6855
GÓRA,6855
KACPRZAK,6825
MURAWSKI,6817
POPŁAWSKI,6794
STACHOWIAK,6787
RUDNICKI,6769
DĘBSKI,6748
PIETRZYK,6733
ŻUREK,6715
PIĄTKOWSKI,6674
GÓRNY,6654
GÓRKA,6647
NIEMIEC,6643
ZAWADA,6633
KARCZEWSKI,6631
BANAŚ,6629
PODGÓRSKI,6614
MATYSIAK,6585
ŻURAWSKI,6574
SOWIŃSKI,6572
KLIMCZAK,6545
GOŁĘBIOWSKI,6535
CZYŻ,6531
ROSIŃSKI,6516
DROZD,6465
BIENIEK,6456
KUŚ,6436
GRUSZKA,6398
GODLEWSKI,6386
AUGUSTYNIAK,6379
KRAWIEC,6364
SKRZYPCZAK,6347
PANEK,6343
GROCHOWSKI,6330
PTAK,6317
PRZYBYŁA,6274
GIL,6232
KOMOROWSKI,6195
WINIARSKI,6194
KONOPKA,6193
RÓŻAŃSKI,6193
SIWEK,6130
KULIK,6120
SŁOWIK,6115
CYBULSKI,6094
LEŚNIEWSKI,6058
GRZYB,6044
SZCZEPANIK,6035
KŁOS,6029
ZAREMBA,6026
KRZYŻANOWSKI,6023
CICHOŃ,5973
ZARZYCKI,5970
GRACZYK,5968
TOKARSKI,5965
MIELCZAREK,5947
MŁYNARCZYK,5925
KACZYŃSKI,5909
MIKOŁAJCZAK,5880
STAŃCZYK,5864
BUCZEK,5860
SZOSTAK,5851
CICHOCKI,5845
SZYMCZYK,5837
BIERNAT,5834
WĘGRZYN,5831
STRZELECKI,5823
JUREK,5793
BARTKOWIAK,5772
MAĆKOWIAK,5767
JANUS,5762
SZCZYGIEŁ,5762
SKOWRON,5755
GĄSIOR,5753
BOGUSZ,5713
GAWRON,5702
CIEŚLA,5692
FILIPIAK,5690
KALETA,5663
KUCHARCZYK,5648
NIEWIADOMSKI,5626
JANIAK,5617
KULA,5603
KOSTRZEWA,5602
RZEPKA,5593
KUBIK,5590
KSIĄŻEK,5576
PAŁKA,5570
RAKOWSKI,5567
SIENKIEWICZ,5565
BAGIŃSKI,5552
GAWLIK,5531
RÓŻYCKI,5503
ANTCZAK,5471
FRĄCZEK,5462
ZARĘBA,5459
MALEC,5444
BARTCZAK,5443
TRZCIŃSKI,5405
BANASIAK,5384
KRÓLIKOWSKI,5360
ŻEBROWSKI,5360
ROGALSKI,5348
DŁUGOSZ,5342
MIKULSKI,5326
HAJDUK,5315
ROGALA,5273
ROJEK,5262
TKACZYK,5234
LACH,5231
GRZEGORCZYK,5227
BOREK,5221
KISIEL,5219
TROJANOWSKI,5192
GAWROŃSKI,5188
DOBOSZ,5187
STEC,5184
WĄSIK,5156
WITCZAK,5156
MALISZEWSKI,5154
WOLNY,5140
RYBICKI,5126
RADOMSKI,5124
ŚLUSARCZYK,5111
MIKA,5083
ZABOROWSKI,5030
KMIECIK,5018
BIAŁAS,5009
PAWELEC,5001
WALKOWIAK,4996
GRZESIAK,4985
GAŁĄZKA,4982
KACZOROWSKI,4977
LIPSKI,4970
SOKÓŁ,4963
BOGUCKI,4961
FRĄCKOWIAK,4954
FRANKOWSKI,4930
KARWOWSKI,4930
WNUK,4924
BOCHENEK,4917
CICHY,4901
ZYGMUNT,4889
KWAŚNIEWSKI,4871
WÓJCICKI,4847
WIĘCKOWSKI,4846
NAWROT,4841
ŻMUDA,4829
DUDZIŃSKI,4814
JUSZCZAK,4807
JANAS,4790
PASTERNAK,4780
PIETRAS,4776
MROCZEK,4771
GAWEŁ,4766
ROSIAK,4730
SKRZYPEK,4718
WOJTCZAK,4717
MISIAK,4708
LASOTA,4704
ŁAPIŃSKI,4703
PIÓRKOWSKI,4692
JĘDRZEJCZYK,4690
KARAŚ,4689
WROŃSKI,4689
FIJAŁKOWSKI,4685
BUJAK,4684
KOŁODZIEJSKI,4675
DĄBEK,4669
BURZYŃSKI,4667
KUBACKI,4664
KRYSIAK,4659
CZYŻEWSKI,4655
GRUSZCZYŃSKI,4646
PIWOWARCZYK,4628
GUTOWSKI,4626
BOROWIEC,4600
MASŁOWSKI,4596
SOŁTYS,4588
SZAFRAŃSKI,4574
JAGODZIŃSKI,4571
TARNOWSKI,4565
ŁUKASZEWSKI,4564
STELMACH,4562
ZAJĄCZKOWSKI,4558
JAGIEŁŁO,4557
CEBULA,4546
KAŁUŻNY,4541
ZIELONKA,4539
BIELAWSKI,4523
LISIECKI,4513
WOŹNY,4509
ŁUKASIEWICZ,4507
CYGAN,4502
KAŁUŻA,4500
KRAKOWIAK,4500
PILARSKI,4495
JURKIEWICZ,4485
SKOCZYLAS,4478
FALKOWSKI,4473
WILCZEK,4473
BOBER,4469
SZCZEŚNIAK,4461
PAKUŁA,4458
DRZEWIECKI,4457
FILIPEK,4456
SKIBIŃSKI,4449
JĘDRZEJCZAK,4441
KĘDZIORA,4425
SOBIERAJ,4420
JAKUBIAK,4411
STRZELCZYK,4394
DĘBOWSKI,4384
GĄSIOROWSKI,4379
FLIS,4377
TWARDOWSKI,4366
RACZYŃSKI,4345
WASIAK,4324
GOŁĄB,4323
STANEK,4317
KUBICA,4315
MIERZEJEWSKI,4306
GUZIK,4302
KULIG,4291
GÓRNIAK,4290
GÓRAL,4289
WIĘCEK,4287
MAJCHER,4282
BARTOSIK,4264
WOLAK,4260
DZIUBA,4258
MATUSZAK,4246
MOTYKA,4226
GRZYWACZ,4223
RUSIN,4222
DROZDOWSKI,4220
BILSKI,4218
SZWED,4209
NOWACZYK,4199
BURY,4194
FLOREK,4185
WOJTAS,4178
CZAPLA,4177
STOLARCZYK,4172
CHOLEWA,4171
PYTEL,4163
KRUPIŃSKI,4159
URBAŃCZYK,4146
PACZKOWSKI,4142
KASZUBA,4141
JAŚKIEWICZ,4140
KOPCZYŃSKI,4140
MICHAŁEK,4125
ZAGÓRSKI,4106
BIELAK,4105
KUC,4105
DUBIEL,4104
PROKOP,4104
MISZTAL,4100
GWÓŹDŹ,4091
MALICKI,4088
RUCIŃSKI,4079
STASZEWSKI,4075
BIAŁY,4068
ANDRZEJCZAK,4064
JANKOWIAK,4063
BOŻEK,4058
PARTYKA,4048
SIEDLECKI,4042
ŚWIERCZYŃSKI,4036
CISZEWSKI,4032
KUCHTA,4030
MODZELEWSKI,4030
SŁOWIŃSKI,4030
SKÓRA,4029
KĘPA,4028
PŁONKA,4026
JANUSZ,4014
ZWOLIŃSKI,4012
GAŁKA,4007
KACZMARSKI,4003
SIERADZKI,4003
BIEŃKOWSKI,3997
KAPUSTA,3997
MILCZAREK,3988
STACHURA,3979
JURKOWSKI,3970
SOCHACKI,3965
SZCZERBA,3963
SŁAWIŃSKI,3958
JEZIERSKI,3952
PAWLIKOWSKI,3949
SZYSZKA,3945
SITEK,3941
STĘPNIAK,3935
KOLASA,3906
JACKOWSKI,3900
WOŚ,3897
ROSA,3889
CHMURA,3885
OLCZAK,3883
IWAŃSKI,3881
MROCZKOWSKI,3878
LIPKA,3876
DUDZIK,3872
BRODA,3865
KNAPIK,3860
MAŚLANKA,3860
KWIECIŃSKI,3858
NOGA,3846
DEC,3843
MAJKA,3843
MAŃKOWSKI,3837
SKALSKI,3832
SZATKOWSKI,3796
SALAMON,3791
KOGUT,3787
TRZECIAK,3785
TOKARZ,3782
KOZA,3780
CHOJNOWSKI,3778
FLORCZAK,3777
KITA,3771
DUDZIAK,3770
LENART,3769
MROZEK,3764
DOBRZYŃSKI,3762
MOLENDA,3754
WŁODARSKI,3750
WYSZYŃSKI,3750
STANISŁAWSKI,3747
KOBUS,3746
KOWALCZUK,3745
KOŁAKOWSKI,3742
SKOWRONEK,3741
ZDUNEK,3740
BUCZYŃSKI,3735
MICHALCZYK,3734
PASZKOWSKI,3730
PUCHALSKI,3730
KOTOWSKI,3729
KIEŁBASA,3728
KRUSZEWSKI,3728
JANUSZEWSKI,3717
DOMINIAK,3692
CHUDY,3689
KAWA,3681
ŻUK,3674
CZECHOWSKI,3666
WARCHOŁ,3664
KOS,3656
GRZESIK,3652
AUGUSTYN,3643
ADAMUS,3642
ADAMCZAK,3641
ROBAK,3641
PIECHOTA,3632
PILCH,3613
JAGIELSKI,3607
KŁOSOWSKI,3605
WIĄCEK,3605
MACIĄG,3604
CHUDZIK,3600
RYŚ,3599
STOLARSKI,3594
BĄKOWSKI,3590
ADAMEK,3587
GŁOGOWSKI,3586
KOPER,3585
JURCZAK,3573
PRZYBYŁ,3571
BANASIK,3567
FILIPOWICZ,3561
RUDZIŃSKI,3561
ŻYŁA,3560
KALISZ,3558
SURMA,3558
JARZĄBEK,3554
NIEDŹWIECKI,3552
MARCHEWKA,3550
TOMALA,3548
DĄBKOWSKI,3537
PORĘBSKI,3534
KASPEREK,3532
KUŹMA,3530
RUDNIK,3529
BUDZYŃSKI,3525
PRUS,3511
OLEKSY,3509
STAŃCZAK,3503
MALIK,3500
PIŁAT,3499
MOSKAL,3495
KANIEWSKI,3493
KOPACZ,3490
GORCZYCA,3486
SOŁTYSIAK,3484
GADOMSKI,3482
JAROS,3479
ROMANIUK,3478
NIEMCZYK,3474
BUCZKOWSKI,3471
ZIĘTEK,3471
WYPYCH,3467
MIŚKIEWICZ,3458
TRACZ,3458
SZELĄG,3439
KUCIŃSKI,3431
BARTNIK,3426
GOLEC,3426
DRABIK,3417
KORZENIOWSKI,3409
SOJKA,3406
TRELA,3405
BALCERZAK,3399
WOLIŃSKI,3399
KRUCZEK,3392
SZYMKOWIAK,3385
MELNYK,3372
WARZECHA,3372
GŁĄB,3365
STACHOWICZ,3365
ZABŁOCKI,3365
KUJAWSKI,3362
RYBARCZYK,3361
RADECKI,3360
STACHURSKI,3360
BŁASZCZAK,3356
OSSOWSKI,3352
SĘK,3352
PIETRUSZKA,3351
PIOTROWICZ,3351
DRÓŻDŻ,3349
MAGIERA,3347
FRĄTCZAK,3345
JURCZYK,3342
BUDZIŃSKI,3340
RUDZKI,3339
ŚLĘZAK,3338
PELC,3334
ADAMIAK,3328
ROMAN,3327
BIAŁKOWSKI,3326
SZUBA,3321
LESIAK,3313
KULIŃSKI,3306
ZIMNY,3304
KMIEĆ,3299
BIELSKI,3295
NIEDZIELSKI,3295
FURMAN,3294
KRAKOWSKI,3291
KOSTECKI,3289
WOŹNICA,3289
MIERZWA,3284
KOZIK,3281
KOSOWSKI,3277
BIELIŃSKI,3276
ŚWIDER,3273
PEŁKA,3270
ADAMOWICZ,3265
OLCZYK,3260
SOBOTA,3260
TOMASIK,3256
SKORUPA,3255
BANASZEK,3251
POLAŃSKI,3250
WOJTASIK,3248
GRUDZIEŃ,3244
GUT,3243
PAWLICKI,3241
WOŁOSZYN,3241
STAWICKI,3235
GRZEŚKOWIAK,3231
SEKUŁA,3226
URBANEK,3222
SOBAŃSKI,3215
ŚMIGIELSKI,3204
CZEKAJ,3199
POGORZELSKI,3196
MILLER,3188
KAWECKI,3182
PIWOWARSKI,3168
TOKARCZYK,3162
WOJTKOWIAK,3160
URBANOWICZ,3150
CZERNIAK,3149
LITWIN,3149
KĘDZIOR,3145
BOGACZ,3143
LORENC,3141
PIĘTKA,3137
ŻUCHOWSKI,3129
JUSZCZYK,3126
KNAP,3120
LISZKA,3119
SZWARC,3116
ŚWIĄTKOWSKI,3116
BISKUP,3108
WIŚNIOWSKI,3107
MAKUCH,3106
GACEK,3103
KRASOWSKI,3098
HERMAN,3097
GRUDZIŃSKI,3096
SZOT,3095
RATAJCZYK,3091
IZDEBSKI,3089
NAPIERAŁA,3085
ROSZKOWSKI,3085
SZAREK,3085
KRUKOWSKI,3078
STUDZIŃSKI,3066
ŚLEDŹ,3060
KWIATEK,3055
KARCZ,3053
KAWKA,3051
MACKIEWICZ,3037
SIWIEC,3029
BORYS,3024
JAKUBCZYK,3023
KUKLA,3021
MAŃKA,3021
RYBKA,3018
KUSIAK,3016
PAPROCKI,3009
JÓŹWIK,3007
ROSZAK,3005
DUSZYŃSKI,2998
ROŻEK,2991
MAZIARZ,2985
ŁUKASZEWICZ,2984
RESZKA,2980
JEZIORSKI,2978
WOJDA,2978
BOBROWSKI,2972
ALEKSANDROWICZ,2970
GRZYBEK,2957
TUROWSKI,2954
WACH,2951
KRASZEWSKI,2950
RUSEK,2947
TKACZ,2947
SZKUDLAREK,2942
FILIP,2940
SIDOR,2936
SMOLEŃ,2932
MAŁKOWSKI,2926
SZELIGA,2926
HOFFMANN,2923
ŚPIEWAK,2923
WRZESIŃSKI,2923
KORCZAK,2922
WERNER,2915
SZCZUREK,2910
GRODZKI,2909
MIELCAREK,2908
NIEDZIELA,2907
SZOPA,2904
KĘPKA,2901
KRUSZYŃSKI,2897
KRÓLAK,2894
KORZENIEWSKI,2891
WAJDA,2886
PĘKALA,2885
STASZAK,2885
DROŻDŻ,2880
GRABARCZYK,2870
KOSMALA,2867
OLECH,2866
SZYMANEK,2866
PIECH,2865
BUGAJSKI,2861
MAJKOWSKI,2861
PLICHTA,2859
KULPA,2855
LEWIŃSKI,2852
RZEPECKI,2849
GĄSIOREK,2848
PERKOWSKI,2848
SUSKI,2847
BOGDAŃSKI,2844
GOLA,2841
LIPIEC,2840
SKONIECZNY,2836
RADZISZEWSKI,2828
KAPUŚCIŃSKI,2823
BARTOSZEK,2816
JAKUBIEC,2815
RODAK,2812
KOKOSZKA,2809
ROGOZIŃSKI,2809
KURZAWA,2806
PANASIUK,2804
WASIELEWSKI,2796
SCHMIDT,2789
PISZCZEK,2786
SUŁKOWSKI,2786
ORZEŁ,2785
WOJTOWICZ,2785
KUPIEC,2784
RACZKOWSKI,2776
SUCHECKI,2776
OLSZAK,2775
WRZOSEK,2773
LANGE,2772
PISAREK,2770
DYMEK,2769
OŻÓG,2767
ROKICKI,2767
WIELGUS,2766
PASZKIEWICZ,2765
SZPAK,2764
GOLIŃSKI,2755
KOKOT,2754
KAŹMIERSKI,2753
KOZAKIEWICZ,2748
GOŁĄBEK,2744
JANCZAK,2743
KAWALEC,2741
ZAPAŁA,2738
ADAMIEC,2736
JASKULSKI,2736
RÓG,2736
GŁADYSZ,2730
WYRZYKOWSKI,2725
OSOWSKI,2720
BIELA,2715
BIAŁECKI,2714
BANASZAK,2713
WOJTASZEK,2713
BRODOWSKI,2711
BUGAJ,2708
STOKŁOSA,2707
BARSZCZ,2706
BOJARSKI,2706
CHROBAK,2705
LASEK,2704
KOPROWSKI,2701
ŚWIERCZEK,2699
GRUCA,2698
MATUSIK,2698
ROMAŃSKI,2698
BRZESKI,2696
GARBACZ,2692
SZYMANOWSKI,2689
KONARSKI,2684
PLEWA,2684
MACH,2682
NGUYEN,2680
SUDOŁ,2678
MĄCZKA,2676
POTOCKI,2675
LOREK,2673
SMOLAREK,2669
KAROLAK,2665
SOLECKI,2665
NOWIŃSKI,2664
PIERZCHAŁA,2662
KOSTKA,2660
KOCHAŃSKI,2657
SUROWIEC,2648
GABRYŚ,2647
KALIŃSKI,2646
JAMRÓZ,2643
WASZKIEWICZ,2643
BALICKI,2642
SZCZYGIELSKI,2642
PŁATEK,2637
AMBROZIAK,2635
ŁACH,2632
PISKORZ,2632
PUCHAŁA,2630
BILIŃSKI,2628
BURDA,2625
PIECHOCKI,2624
CZARNOTA,2623
DZIKOWSKI,2622
PASZEK,2621
TRACZYK,2618
WÓJCIAK,2609
SALA,2604
ŚWITAŁA,2604
WAGNER,2603
KOLASIŃSKI,2600
WŁOCH,2599
WDOWIAK,2597
BIEL,2591
PASEK,2588
PIĘTA,2588
ZBOROWSKI,2587
SZYMANIAK,2584
BERNAT,2583
OKOŃ,2583
BUREK,2582
KRAUZE,2581
BARON,2576
MĄDRY,2576
KEMPA,2575
WALCZYK,2570
BŁOŃSKI,2569
DOLATA,2566
STENCEL,2566
ZAWISTOWSKI,2566
OSUCH,2563
GRELA,2561
SKWAREK,2559
JAROSZEWSKI,2558
ADAMCZEWSKI,2553
OLEŚ,2553
BATOR,2552
DZIURA,2551
WACHOWIAK,2549
STACHOWSKI,2548
MODRZEJEWSKI,2545
JEDYNAK,2542
FIGURA,2541
OGÓREK,2541
FRANCZAK,2539
WEBER,2538
CICHOSZ,2537
KAPICA,2537
ZARĘBSKI,2536
FERENC,2532
GAZDA,2532
MULARCZYK,2530
WĄSOWSKI,2529
CIOŁEK,2527
MIŚ,2527
MIECZKOWSKI,2523
MROWIEC,2523
GÓRALCZYK,2521
MOROZ,2521
DOLIŃSKI,2517
STĘPNIEWSKI,2513
WALIGÓRA,2513
ŁOŚ,2512
OZGA,2511
KOŚCIELNIAK,2510
GROBELNY,2509
KOZYRA,2509
PARADOWSKI,2508
PÓŁTORAK,2508
MAJDA,2505
ĆWIK,2504
DUTKIEWICZ,2504
GRABSKI,2504
LACHOWICZ,2503
BROŻEK,2501
KOZERA,2501
BOGDAN,2494
JASKÓLSKI,2494
DRĄG,2493
WIELGOSZ,2490
ZAWISZA,2490
GRYGIEL,2489
MYŚLIWIEC,2489
NADOLNY,2487
KWAŚNY,2486
ŁAWNICZAK,2486
KOŁODZIEJCZAK,2485
BARTNICKI,2482
BOROŃ,2479
GAŁECKI,2477
WNĘK,2477
KRASKA,2475
LEMAŃSKI,2472
MŁYNARSKI,2472
KULAS,2471
BERNACKI,2468
MIREK,2467
GAJ,2465
KLIMAS,2465
KOZICKI,2464
KOCHANOWSKI,2463
KULIKOWSKI,2461
NALEPA,2449
SZWEDA,2447
SZCZEPANEK,2446
NADOLSKI,2445
BIEŃ,2444
SZADKOWSKI,2444
ĆWIKLIŃSKI,2442
SITKO,2440
STOPA,2440
KĄKOL,2439
TABOR,2438
CZUBA,2435
KOSTRZEWSKI,2433
SOBOŃ,2432
WINNICKI,2432
SPYCHAŁA,2430
CZAPLIŃSKI,2428
RYBA,2428
BRAK DANYCH,2427
PRZYBYSZEWSKI,2425
FLAK,2419
SKORUPSKI,2418
SZAFRAN,2418
KREFT,2417
WYDRA,2416
GALIŃSKI,2410
BARTOSIEWICZ,2406
PORĘBA,2403
FIGIEL,2402
NIEZGODA,2400
BŁAŻEJEWSKI,2398
FILIPCZAK,2397
GLIŃSKI,2396
ANTONIAK,2395
KLUSKA,2394
PASTUSZKA,2389
TYMIŃSKI,2387
WĘGLARZ,2386
BŁASZKIEWICZ,2382
BARTKOWSKI,2378
MACHNIK,2378
TURSKI,2376
WALAS,2375
JANECZEK,2374
SARNOWSKI,2369
BUDA,2367
GAJEK,2366
KLIMASZEWSKI,2366
BUDNY,2365
PIETRZYKOWSKI,2365
WISZNIEWSKI,2363
MORAWIEC,2362
PAJOR,2361
SOBOCIŃSKI,2357
NOSAL,2354
DOBRZAŃSKI,2350
WCISŁO,2350
ZASADA,2350
ŁAKOMY,2348
ŚLIWKA,2348
KRÓLIK,2346
RYCHLIK,2344
ŁUGOWSKI,2343
ŚWIERCZ,2339
GALAS,2334
SEMENIUK,2334
SŁOMIŃSKI,2330
GIZA,2328
GUZ,2328
IWANOWSKI,2327
KAZIMIERCZAK,2325
RYBIŃSKI,2325
SMYK,2325
MUSIOŁ,2320
ZAWIŚLAK,2320
RUMIŃSKI,2317
GOŁASZEWSKI,2314
WIERZCHOWSKI,2312
IWANICKI,2311
SEWERYN,2308
KRAUSE,2306
SŁOMKA,2301
SZCZOTKA,2301
BRYŁA,2300
KOMAR,2300
MIKUŁA,2300
ZIOMEK,2299
GAŁUSZKA,2296
CZAPIEWSKI,2295
GOLONKA,2295
KLONOWSKI,2294
MARCZEWSKI,2292
MATCZAK,2291
TUSZYŃSKI,2291
RYBACKI,2289
WILCZEWSKI,2289
FURTAK,2288
MIZERA,2288
BOJANOWSKI,2286
CHOJECKI,2286
SZOSTEK,2285
MISZCZAK,2278
ROKITA,2278
JACKIEWICZ,2277
KASPERSKI,2277
MAKAREWICZ,2276
KALITA,2275
PIEŃKOWSKI,2272
MARCINKIEWICZ,2270
PODSIADŁO,2268
KALBARCZYK,2267
RADZIKOWSKI,2266
TRUSZKOWSKI,2265
GÓRALSKI,2264
JOŃCZYK,2263
OLENDER,2263
KORNACKI,2262
KOŁACZ,2261
PILARCZYK,2254
PIEKARZ,2253
WASZAK,2253
DUSZA,2251
KŁOSIŃSKI,2251
SZUBERT,2251
GĄSKA,2249
STRZAŁKOWSKI,2247
BOROWIAK,2245
LEWCZUK,2241
DANIEL,2239
DOMAGALSKI,2238
BABIARZ,2237
RĄCZKA,2237
CHYLIŃSKI,2233
SOBCZYŃSKI,2233
NAPIÓRKOWSKI,2232
WACHOWSKI,2231
BĄCZEK,2228
FRANKIEWICZ,2227
RADWAŃSKI,2223
NYCZ,2222
TOPOLSKI,2221
LUDWICZAK,2220
IWAN,2218
WILIŃSKI,2215
MASTALERZ,2214
KRZAK,2213
MAŁOLEPSZY,2212
SUCHOCKI,2209
KOBYLIŃSKI,2208
MACHOWSKI,2205
TARKA,2202
KRASUSKI,2201
TROJAN,2200
PIWOWAR,2197
RAKOCZY,2197
GREGORCZYK,2196
KLOC,2195
DREWNIAK,2194
DAWIDOWSKI,2190
DUL,2189
ZIEMBA,2189
PISARSKI,2186
SITARZ,2186
DWORAK,2185
MARKOWICZ,2185
ANTKOWIAK,2182
KOVALCHUK,2181
KOZIŃSKI,2179
RYDZEWSKI,2177
MACIASZEK,2174
GWIAZDA,2171
KIELAR,2170
NEUMANN,2169
STAROŃ,2164
WOJDYŁA,2164
OSIECKI,2160
PATER,2160
TRZASKA,2160
SOSIŃSKI,2159
JEŻ,2158
KLEIN,2157
BACZYŃSKI,2156
JELEŃ,2153
SZEWCZUK,2153
GĄDEK,2150
DAWID,2148
MALCZEWSKI,2147
OSTASZEWSKI,2145
CZUBAK,2144
MOTYL,2141
WOJTKOWSKI,2138
MATUSZCZAK,2132
POPIOŁEK,2132
SAKOWSKI,2131
CHOWANIEC,2130
KUSZ,2127
DĘBICKI,2126
SZAFRANIEC,2126
MILER,2125
OGRODNIK,2122
IWANIUK,2118
CZERWONKA,2114
SZLACHTA,2113
ZALESKI,2112
