Nazwisko aktualne,Liczba
SOBIERAJ,4661
WILCZEK,4658
TWARDOWSKA,4649
FLIS,4638
GUTOWSKA,4628
KARAŚ,4628
SKIBIŃSKA,4620
BIELAWSKA,4618
ŁUKASZEWSKA,4618
KAŁUŻA,4609
STRZELCZYK,4602
DRZEWIECKA,4599
KUBICA,4586
ZIELONKA,4581
STELMACH,4579
CYGAN,4576
DĘBOWSKA,4573
SOŁTYS,4555
TARNOWSKA,4545
SKOCZYLAS,4527
SZCZEŚNIAK,4526
FALKOWSKA,4523
RACZYŃSKA,4495
CEBULA,4488
PAKUŁA,4488
BOBER,4484
JAKUBIAK,4478
FILIPEK,4474
BILSKA,4473
BARTOSIK,4456
MIERZEJEWSKA,4440
WASIAK,4433
SZWED,4426
GĄSIOROWSKA,4425
KĘDZIORA,4423
MAJCHER,4410
GÓRNIAK,4405
STANEK,4403
KRUPIŃSKA,4402
WIĘCEK,4372
NOWACZYK,4371
GUZIK,4363
STASZEWSKA,4352
CISZEWSKA,4335
STOLARCZYK,4328
RUSIN,4318
URBAŃCZYK,4315
CZAPLA,4309
DROZDOWSKA,4308
GÓRAL,4304
KOPCZYŃSKA,4304
JAŚKIEWICZ,4301
MATUSZAK,4293
WOLAK,4266
RUCIŃSKA,4246
SŁOWIŃSKA,4245
KACZMARSKA,4243
KULIG,4241
SIEDLECKA,4241
CHOLEWA,4232
GOŁĄB,4231
ZAGÓRSKA,4227
ZWOLIŃSKA,4227
KASZUBA,4219
KAŁUŻNA,4216
MODZELEWSKA,4210
GRZYWACZ,4208
MISZTAL,4206
FLOREK,4204
SŁAWIŃSKA,4203
MILCZAREK,4192
PACZKOWSKA,4192
PAWLIKOWSKA,4176
MOTYKA,4174
ANDRZEJCZAK,4169
JEZIERSKA,4169
DZIUBA,4166
MICHAŁEK,4165
PARTYKA,4152
PYTEL,4150
DUBIEL,4149
STACHURA,4144
WOJTAS,4143
JACKOWSKA,4140
PROKOP,4119
MALICKA,4107
GWÓŹDŹ,4100
SOCHACKA,4099
BOŻEK,4092
JURKOWSKA,4090
ŚWIERCZYŃSKA,4087
OLCZAK,4083
SIERADZKA,4078
BIELAK,4076
KUCHTA,4076
KUC,4067
SZYSZKA,4059
GAŁKA,4058
KĘPA,4056
BIEŃKOWSKA,4053
JANUSZ,4045
ROSA,4037
SZCZERBA,4036
PŁONKA,4034
JANKOWIAK,4021
IWAŃSKA,4006
SKALSKA,4002
CHOJNOWSKA,3996
STĘPNIAK,3993
KWIECIŃSKA,3991
KNAPIK,3990
WOŚ,3989
MROCZKOWSKA,3987
SITEK,3986
SKÓRA,3979
KOLASA,3977
PASZKOWSKA,3963
BRODA,3952
SZATKOWSKA,3952
KRUSZEWSKA,3940
DUDZIK,3939
SUSKA,3917
WYSZYŃSKA,3914
CHMURA,3903
MAJKA,3902
DEC,3899
FLORCZAK,3885
DOMINIAK,3883
CZECHOWSKA,3880
LENART,3879
STANISŁAWSKA,3874
ZDUNEK,3874
WŁODARSKA,3861
MAŃKOWSKA,3853
KOWALCZUK,3852
PUCHALSKA,3848
MICHALCZYK,3841
SALAMON,3841
TOMALA,3839
SKOWRONEK,3831
KAPUSTA,3827
DUDZIAK,3822
KOTOWSKA,3820
TRZECIAK,3819
ADAMCZAK,3817
FILIPOWICZ,3817
LIPKA,3813
MOLENDA,3806
GŁOGOWSKA,3795
JANUSZEWSKA,3793
KAWA,3787
TOKARZ,3773
BUCZYŃSKA,3771
MAŚLANKA,3767
AUGUSTYN,3766
NOGA,3758
MROZEK,3753
ADAMEK,3752
KOBUS,3752
KOŁAKOWSKA,3749
ADAMUS,3744
ZIĘTEK,3743
KOGUT,3737
KITA,3734
PIECHOTA,3725
KOPER,3724
STOLARSKA,3719
GORCZYCA,3710
DOBRZYŃSKA,3709
JAGIELSKA,3705
KANIEWSKA,3702
PILCH,3700
ŻUK,3699
BĄKOWSKA,3698
KOZA,3687
BANASIK,3683
NIEMCZYK,3670
WARCHOŁ,3669
JURCZAK,3666
PRZYBYŁ,3652
GRZESIK,3651
ROBAK,3645
BUDZYŃSKA,3641
CHUDZIK,3641
MACIĄG,3640
MALIK,3638
RUDZIŃSKA,3638
SOŁTYSIAK,3633
NIEDŹWIECKA,3629
WYPYCH,3622
BUCZKOWSKA,3617
PORĘBSKA,3614
JARZĄBEK,3611
MIŚKIEWICZ,3608
SOJKA,3598
KALISZ,3596
WIĄCEK,3596
KUŹMA,3595
ADAMOWICZ,3582
KASPEREK,3578
DRABIK,3577
STAŃCZAK,3575
KŁOSOWSKA,3573
STACHURSKA,3569
GADOMSKA,3555
RUDNIK,3546
KOPACZ,3541
MARCHEWKA,3540
BARTNIK,3535
PIŁAT,3533
KIEŁBASA,3530
GOLEC,3525
BIAŁKOWSKA,3524
DĄBKOWSKA,3524
MOSKAL,3520
SURMA,3519
OLCZYK,3518
BŁASZCZAK,3517
KUCIŃSKA,3517
OLEKSY,3516
OSSOWSKA,3510
TRACZ,3510
SZELĄG,3507
STACHOWICZ,3502
RYŚ,3491
BIELSKA,3481
MAGIERA,3481
BALCERZAK,3478
KORZENIOWSKA,3478
WOLIŃSKA,3478
KOS,3472
ZABŁOCKA,3471
BUDZIŃSKA,3466
JAROS,3458
ADAMIAK,3456
NIEDZIELSKA,3456
SZYMKOWIAK,3448
DRÓŻDŻ,3447
PRUS,3446
RYBARCZYK,3445
RUDZKA,3443
GRUDZIEŃ,3441
WOJTKOWIAK,3431
RADECKA,3429
ŻYŁA,3429
PIETRUSZKA,3419
PIOTROWICZ,3416
KOSOWSKA,3413
LESIAK,3403
PELC,3392
GŁĄB,3387
WARZECHA,3387
WOŹNICA,3385
PAWLICKA,3384
FRĄTCZAK,3383
KUJAWSKA,3382
SĘK,3382
JURCZYK,3379
ŚLĘZAK,3378
TRELA,3377
CZERNIAK,3376
SOBAŃSKA,3375
SEKUŁA,3370
URBANEK,3369
TOMASIK,3366
KOSTECKA,3363
BURY,3360
GRZEŚKOWIAK,3360
BIELIŃSKA,3357
KOZIK,3357
KRAKOWSKA,3349
WOJTASIK,3344
MIERZWA,3342
KRUCZEK,3341
WOŁOSZYN,3336
MILLER,3333
URBANOWICZ,3333
BISKUP,3332
POLAŃSKA,3327
KMIEĆ,3326
SZUBA,3326
HERMAN,3322
MACKIEWICZ,3322
KULIŃSKA,3315
PEŁKA,3315
CZEKAJ,3314
STAWICKA,3314
SOBOTA,3307
PIWOWARSKA,3303
POGORZELSKA,3303
ROMAN,3301
ŚWIĄTKOWSKA,3295
BANASZEK,3293
LITWIN,3293
HOFFMANN,3281
KAWECKA,3279
GUT,3275
ŚMIGIELSKA,3273
KRASOWSKA,3272
ŚWIDER,3268
SCHMIDT,3262
RATAJCZYK,3235
ALEKSANDROWICZ,3220
ROSZAK,3220
GRUDZIŃSKA,3218
WIŚNIOWSKA,3201
FURMAN,3200
KWIATEK,3197
LORENC,3197
MAKUCH,3193
SKORUPA,3183
ROSZKOWSKA,3180
NAPIERAŁA,3177
JUSZCZYK,3172
ŁUKASZEWICZ,3172
WERNER,3171
TOKARCZYK,3161
IZDEBSKA,3158
SZAREK,3156
STUDZIŃSKA,3154
SZWARC,3153
SIWIEC,3150
SZOT,3148
LISZKA,3143
BOGACZ,3141
PIĘTKA,3137
KAWKA,3121
JÓŹWIK,3116
KRUKOWSKA,3114
KNAP,3113
TUROWSKA,3103
JAKUBCZYK,3099
JEZIORSKA,3095
KARCZ,3091
GACEK,3074
WRZESIŃSKA,3071
KRÓLAK,3070
KUKLA,3066
SIDOR,3066
ŻUCHOWSKA,3066
PAPROCKA,3065
WACH,3055
ROŻEK,3051
BORYS,3048
LANGE,3048
KĘDZIOR,3047
KUSIAK,3043
ROMANIUK,3039
GRODZKA,3038
BOBROWSKA,3037
KRUSZYŃSKA,3035
MAŃKA,3029
KRASZEWSKA,3025
CICHA,3006
SZELIGA,3005
RUSEK,3000
MIELCAREK,2995
NIEDZIELA,2995
TKACZ,2994
WOLNA,2993
KOSMALA,2992
ŚPIEWAK,2992
KORZENIEWSKA,2985
WOJDA,2978
KORCZAK,2975
GRABARCZYK,2973
BOGDAŃSKA,2969
SMOLEŃ,2964
GRZYBEK,2962
MAŁKOWSKA,2959
LIPIEC,2955
MAZIARZ,2955
RESZKA,2954
RYBKA,2954
MAJKOWSKA,2952
GĄSIOREK,2951
SZYMANEK,2945
FILIP,2942
ROMAŃSKA,2940
RZEPECKA,2936
PERKOWSKA,2935
JAKUBIEC,2932
OLECH,2926
STASZAK,2926
SZKUDLAREK,2925
WAGNER,2924
RADZISZEWSKA,2922
WASIELEWSKA,2921
WAJDA,2916
SZOPA,2912
PĘKALA,2907
KOZAKIEWICZ,2906
PISAREK,2905
ROGOZIŃSKA,2905
ADAMIEC,2903
LEWIŃSKA,2903
NOWIŃSKA,2902
PLICHTA,2901
GŁADYSZ,2900
DROŻDŻ,2899
POTOCKA,2898
ŚLEDŹ,2896
DUSZYŃSKA,2889
BARTOSZEK,2888
KAPUŚCIŃSKA,2888
KULPA,2884
PIECH,2883
GOLA,2882
KONARSKA,2879
RACZKOWSKA,2878
PASZKIEWICZ,2874
BUGAJSKA,2873
KUPIEC,2873
RODAK,2872
JANCZAK,2866
KAŹMIERSKA,2863
WOJTOWICZ,2857
KAWALEC,2853
BANASZAK,2851
SKONIECZNA,2847
KURZAWA,2843
STOKŁOSA,2842
BILIŃSKA,2840
OSOWSKA,2840
KOCHAŃSKA,2826
SUŁKOWSKA,2826
SZYMANOWSKA,2826
PIERZCHAŁA,2825
OLSZAK,2824
PUCHAŁA,2824
ROKICKA,2817
KĘPKA,2815
KAROLAK,2809
BRZESKA,2807
WYRZYKOWSKA,2805
SUCHECKA,2804
WRZOSEK,2800
SOLECKA,2799
BUGAJ,2793
KALIŃSKA,2793
KOKOT,2788
LASEK,2785
ŚWIERCZEK,2784
BALICKA,2783
GOLIŃSKA,2781
AMBROZIAK,2780
WÓJCIAK,2775
BRODOWSKA,2772
GRUCA,2772
PASEK,2772
WASZKIEWICZ,2771
WOJTASZEK,2771
JASKULSKA,2770
WOŹNA,2769
ORZEŁ,2765
SZCZUREK,2765
WIELGUS,2765
PIECHOCKA,2760
SZCZYGIELSKA,2757
KOKOSZKA,2755
BIAŁECKA,2754
BARSZCZ,2752
SUDOŁ,2750
KRAUZE,2747
CHROBAK,2742
MACH,2740
GÓRALCZYK,2736
MĄCZKA,2732
JAROSZEWSKA,2722
WEBER,2719
GARBACZ,2715
ZAPAŁA,2714
BIELA,2713
ZBOROWSKA,2711
PŁATEK,2710
CZARNOTA,2706
BOJARSKA,2696
DYMEK,2694
PISZCZEK,2693
BATOR,2689
KOSTKA,2689
OŻÓG,2689
MATUSIK,2687
FIGURA,2679
LOREK,2677
DZIKOWSKA,2674
JAMRÓZ,2674
FERENC,2672
PASZEK,2670
KOPROWSKA,2666
TRACZYK,2664
WDOWIAK,2664
GABRYŚ,2660
OLEŚ,2660
SALA,2655
SZPAK,2655
SMOLAREK,2650
STĘPNIEWSKA,2649
WALCZYK,2648
GOŁĄBEK,2647
DUTKIEWICZ,2646
PISKORZ,2646
SZYMANIAK,2642
PARADOWSKA,2640
KOCHANOWSKA,2638
KOŁODZIEJCZAK,2638
SUROWIEC,2633
BARTNICKA,2629
BURDA,2629
ŁAWNICZAK,2628
ADAMCZEWSKA,2626
OSUCH,2626
KEMPA,2625
ZARĘBSKA,2625
BŁAŻEJEWSKA,2619
BERNAT,2617
GRYGIEL,2617
BROŻEK,2616
BARTOSIEWICZ,2615
DOLATA,2611
GRABSKA,2610
GRELA,2610
PÓŁTORAK,2609
WĄSOWSKA,2609
KOLASIŃSKA,2608
WINNICKA,2608
CICHOSZ,2607
MODRZEJEWSKA,2607
STACHOWSKA,2607
ZAWISZA,2607
MULARCZYK,2606
KOZYRA,2599
BARON,2598
ZASADA,2597
DOLIŃSKA,2596
WACHOWIAK,2595
ZAWISTOWSKA,2595
MROWIEC,2593
MYŚLIWIEC,2593
ĆWIKLIŃSKA,2592
MIECZKOWSKA,2591
LACHOWICZ,2589
GAJ,2587
ŁOŚ,2586
PIĘTA,2584
PLEWA,2581
WIELGOSZ,2579
STENCEL,2574
ŚWITAŁA,2570
BIEL,2566
KOZERA,2565
GALIŃSKA,2559
GAZDA,2554
WALIGÓRA,2552
BŁOŃSKA,2550
OKOŃ,2548
TYMIŃSKA,2548
JEDYNAK,2546
MAJDA,2546
SZADKOWSKA,2546
ZIMNA,2546
KULIKOWSKA,2544
GAŁECKA,2543
RÓG,2539
SZCZEPANEK,2539
KOŚCIELNIAK,2538
KRASKA,2537
JASKÓLSKA,2536
KOZICKA,2533
OZGA,2530
MORAWIEC,2524
NADOLSKA,2524
SZWEDA,2522
BUREK,2520
